Table Coordinates: (94.704, 273.53, 114.38399999999999, 274.00998), Width: 19.679999999999993, Height: 0.47998000000001184
Table Coordinates: (114.38, 273.53, 114.86, 274.00998), Width: 0.480000000000004, Height: 0.47998000000001184
Table Coordinates: (114.86, 273.53, 134.42, 274.00998), Width: 19.559999999999988, Height: 0.47998000000001184
Table Coordinates: (134.42, 273.53, 134.90000999999998, 274.00998), Width: 0.48000999999999294, Height: 0.47998000000001184
Table Coordinates: (134.9, 273.53, 154.58, 274.00998), Width: 19.680000000000007, Height: 0.47998000000001184
Table Coordinates: (154.58, 273.53, 155.06, 274.00998), Width: 0.47999999999998977, Height: 0.47998000000001184
Table Coordinates: (155.06, 273.53, 174.74, 274.00998), Width: 19.680000000000007, Height: 0.47998000000001184
Table Coordinates: (174.74, 273.53, 175.22, 274.00998), Width: 0.47999999999998977, Height: 0.47998000000001184
Table Coordinates: (175.22, 273.53, 194.78, 274.00998), Width: 19.560000000000002, Height: 0.47998000000001184
Table Coordinates: (194.78, 273.53, 195.284, 274.00998), Width: 0.5039999999999907, Height: 0.47998000000001184
Table Coordinates: (195.29, 273.53, 214.97, 274.00998), Width: 19.680000000000007, Height: 0.47998000000001184
Table Coordinates: (214.97, 273.53, 215.45, 274.00998), Width: 0.47999999999998977, Height: 0.47998000000001184
Table Coordinates: (215.45, 273.53, 235.13, 274.00998), Width: 19.680000000000007, Height: 0.47998000000001184
Table Coordinates: (235.13, 273.53, 235.60999999999999, 274.00998), Width: 0.47999999999998977, Height: 0.47998000000001184
Table Coordinates: (235.61, 273.53, 255.29000000000002, 274.00998), Width: 19.680000000000007, Height: 0.47998000000001184
